PulseCount,ActiveRatio,MaxGap
2304,0.4608,3022
3582,0.7164,2340
4470,0.8940,1724
4872,0.9744,1310
5371,1.0000,1867
5826,1.0000,1119
6277,1.0000,1271
6020,1.0000,1092
6158,1.0000,1035
5771,1.0000,1897
5511,1.0000,1336
5442,1.0000,1618
4982,0.9964,1523
4928,0.9856,1193
4821,0.9642,1753
5322,1.0000,1752
3630,0.7260,1570
2462,0.4924,1519
3299,0.6598,1490
3848,0.7696,1330
4112,0.8224,1077
4739,0.9478,1451
4855,0.9710,1051
4553,0.9106,1607
4953,0.9906,1868
5054,1.0000,1139
4461,0.8922,2277
5038,1.0000,1339
4996,0.9992,1308
4562,0.9124,1692
5057,1.0000,1191
4957,0.9914,1052
5091,1.0000,2079
4995,0.9990,1997
4958,0.9916,1234
4387,0.8774,1264
4524,0.9048,1570
4355,0.8710,1307
4646,0.9292,1028
3860,0.7720,1352
4943,0.9886,882
4253,0.8506,1466
3868,0.7736,987
4237,0.8474,1025
4819,0.9638,1012
4281,0.8562,1253
3798,0.7596,1001
4166,0.8332,1018
4434,0.8868,1001
3801,0.7602,1084
4180,0.8360,980
4418,0.8836,1005
3974,0.7948,1077
4188,0.8376,984
4167,0.8334,1035
4075,0.8150,1580
4093,0.8186,4862
3567,0.7134,4458
2436,0.4872,6132
1917,0.3834,7183
3073,0.6146,2019
4319,0.8638,1022
3525,0.7050,1932
3721,0.7442,1057
3975,0.7950,1337
4186,0.8372,2597
4439,0.8878,1193
4238,0.8476,1645
4419,0.8838,1581
4385,0.8770,1574
4076,0.8152,1385
4442,0.8884,1081
4325,0.8650,1316
4713,0.9426,2983
4625,0.9250,1659
4597,0.9194,1051
4643,0.9286,1332
5001,1.0000,1721
4607,0.9214,1653
4644,0.9288,1490
4509,0.9018,1574
4749,0.9498,1337
4477,0.8954,1624
4625,0.9250,1082
4446,0.8892,1360
4297,0.8594,1430
4187,0.8374,1853
4081,0.8162,1029
4253,0.8506,1429
3613,0.7226,2005
3519,0.7038,1489
3542,0.7084,1021
3791,0.7582,1055
3923,0.7846,1041
3914,0.7828,1082
3826,0.7652,1405
3808,0.7616,1416
3647,0.7294,1052
3909,0.7818,1028
4558,0.9116,1051
3991,0.7982,1747
3266,0.6532,2679
2306,0.4612,4267
2331,0.4662,2890
3006,0.6012,2050
2584,0.5168,1344
3100,0.6200,1252
2838,0.5676,1959
2966,0.5932,1997
3657,0.7314,1051
3056,0.6112,1004
4913,0.9826,1009
3940,0.7880,1033
4744,0.9488,1091
5001,1.0000,1959
4196,0.8392,1338
4213,0.8426,1003
