PulseCount,ActiveRatio,MaxGap
2803,0.5606,3697
2901,0.5802,2885
2925,0.5850,2992
2831,0.5662,2941
2690,0.5380,3206
2678,0.5356,3067
2698,0.5396,2635
2842,0.5684,2906
2856,0.5712,2517
3031,0.6062,2960
3134,0.6268,2704
2988,0.5976,2495
2431,0.4862,2569
3351,0.6702,1872
3516,0.7032,2032
3536,0.7072,1509
3640,0.7280,2061
3553,0.7106,2164
3433,0.6866,2323
3492,0.6984,1964
3490,0.6980,1559
3489,0.6978,1335
3373,0.6746,1817
3632,0.7264,2486
3393,0.6786,1856
3413,0.6826,1424
3512,0.7024,1736
3529,0.7058,2119
3456,0.6912,2925
3525,0.7050,2110
3391,0.6782,1800
3433,0.6866,1552
3434,0.6868,1698
3369,0.6738,2308
3476,0.6952,2142
3276,0.6552,2034
3350,0.6700,1885
3496,0.6992,1709
3183,0.6366,2036
3082,0.6164,1912
3344,0.6688,1781
3503,0.7006,1638
3569,0.7138,1889
3233,0.6466,1768
3307,0.6614,1677
3260,0.6520,1625
3252,0.6504,1992
3227,0.6454,2169
3304,0.6608,1840
3305,0.6610,1962
3399,0.6798,1582
3183,0.6366,1499
3316,0.6632,1960
3228,0.6456,2028
3433,0.6866,1484
3569,0.7138,1583
3249,0.6498,1843
3205,0.6410,1802
3289,0.6578,2326
3428,0.6856,1974
3497,0.6994,1632
3306,0.6612,2016
3253,0.6506,1743
3379,0.6758,1475
3365,0.6730,1659
3324,0.6648,2280
3538,0.7076,2034
3367,0.6734,1809
3271,0.6542,2731
3377,0.6754,1863
3207,0.6414,1710
3477,0.6954,2222
3361,0.6722,1574
3668,0.7336,1995
3384,0.6768,2076
3237,0.6474,1817
3295,0.6590,1593
3376,0.6752,1440
3319,0.6638,2330
3354,0.6708,1703
3123,0.6246,1333
3144,0.6288,1455
3488,0.6976,1618
3563,0.7126,1964
3319,0.6638,1501
3272,0.6544,1832
3332,0.6664,1578
3658,0.7316,1483
3589,0.7178,1623
3342,0.6684,1684
3140,0.6280,1703
3225,0.6450,1928
3070,0.6140,1319
3277,0.6554,1768
3322,0.6644,1719
3305,0.6610,1491
3533,0.7066,1294
3504,0.7008,1495
3392,0.6784,1621
3422,0.6844,1539
3490,0.6980,1673
3272,0.6544,1629
3566,0.7132,1694
3316,0.6632,1863
3440,0.6880,1634
3657,0.7314,1519
3700,0.7400,1328
3317,0.6634,2045
3423,0.6846,1217
3321,0.6642,1824
3577,0.7154,1331
3494,0.6988,1914
3684,0.7368,1462
3525,0.7050,1100
3673,0.7346,1362
3211,0.6422,1149
3221,0.6442,1499
3452,0.6904,1430
3328,0.6656,1993
3555,0.7110,1536
3543,0.7086,1957
3682,0.7364,1450
3239,0.6478,1500
3414,0.6828,1344
3051,0.6102,1236
3191,0.6382,1413
3332,0.6664,1081
3340,0.6680,2081
3394,0.6788,1538
3246,0.6492,1719
3066,0.6132,1275
3325,0.6650,1329
3482,0.6964,1679
3558,0.7116,1484
3489,0.6978,1465
3479,0.6958,1456
3593,0.7186,1077
3718,0.7436,1031
3235,0.6470,1543
3069,0.6138,1465
3087,0.6174,1171
3009,0.6018,1486
3014,0.6028,1945
3130,0.6260,1764
3057,0.6114,1419
3652,0.7304,1104
3271,0.6542,1301
3160,0.6320,1570
3082,0.6164,1647
3164,0.6328,1941
3165,0.6330,1060
3481,0.6962,1232
2989,0.5978,1195
3208,0.6416,1441
3053,0.6106,1457
3264,0.6528,1279
3049,0.6098,1251
2892,0.5784,1407
2964,0.5928,1596
2924,0.5848,1614
2989,0.5978,1681
2875,0.5750,1575
2994,0.5988,2353
3028,0.6056,2105
3074,0.6148,1321
3054,0.6108,1604
2988,0.5976,1388
3212,0.6424,1102
3152,0.6304,1759
3350,0.6700,1983
2996,0.5992,1837
2937,0.5874,1725
3093,0.6186,1322
2962,0.5924,1551
3081,0.6162,1043
2755,0.5510,1923
3202,0.6404,1555
3305,0.6610,2018
3764,0.7528,1715
3599,0.7198,1263
3130,0.6260,1832
3035,0.6070,1385
3159,0.6318,1875
3511,0.7022,1485
3699,0.7398,1510
3931,0.7862,1648
4141,0.8282,1991
4019,0.8038,1453
3885,0.7770,1689
3377,0.6754,1658
3176,0.6352,1499
3265,0.6530,1436
3226,0.6452,1213
3083,0.6166,1492
3030,0.6060,1720
3012,0.6024,1602
3138,0.6276,1534
3096,0.6192,1365
3009,0.6018,1940
3385,0.6770,1651
1952,0.3904,4652
